Count,seller_loan_no,Asset Type,submit_date,original_balance,purchase_price,Current Balance,APR,term,Property City,Property State,Monthly Payment,Monthly Payment Date,state,fico,loan_program,Total Dealer $,Mkt Fee ($),Stamp fee,SFC Net Margin $,lender_price_pct,Adv. Rate,Dealer Fee,Mkt Fee (%),DTI,DPD,PTI,Income,application_type,platform,unnamed_1,TU_144,Loan Product Variables,loan program,loan_term,Avg Loan Size $'s,coupon,cdr_promo,constant_cpr,servicing_cost,late_percent,recovery_percent,promo_term,Promo Period Prepayment,modeled_purchase_price,SFC Loan Margin,SFC Purchase Price,Merchant Discount,cdr,yield,weight,weight(old),weight(worst case),Purchase Price(Worst Case),tagging,cpr,platform,type,proposed_cdr_promo,proposed_cdr,proposed_cpr,proposed_promo_cpr_percent,irr_support,new_programs,proposed_cdr_promo_old,proposed_cdr_old,constant_cpr_old,cdr_promo_old,cdr_old,cpr_old,loan_type
1,SFC_6148883,ROOFING MATERIAL,2025-08-17,100000.0,86000.0,100000,9.9,240,LOS ANGELES,CA,958.41,2025-10-16,CA,766,Unsec Std - 990 - 240,88500,400,0,-2900,86.0,88.5,11.5,0.004,0.3474,0,13.5,85200,RESIDENTIAL,prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard
2,SFC_6098677,ROOFING MATERIAL,2025-08-01,99921.0,98681.98,99921,9.9,180,CARSON,CA,1067.65,2025-10-16,CA,755,Unsec Std - 990 - 180,99921,399.68,0,-1638.7,98.76,100,0,0.004,0.3286,0,11.99,106800,RESIDENTIAL,prime,,,990 - 180,Unsec Std - 990 - 180,180.0,10000.0,990.0,0.0,0.1679,0.02,2e-05,0.35,0.0,,0.9801,0.012499999999999956,0.9676,0.032399999999999984,0.0207,0.07056702765910927,0.0628,0.08601302135113863,0.0,0.0,PRIME,0,prime,standard,0.0,0.025063500000000006,0.2,1.0,0.0125,,,,,,,,standard
3,SFC_6129517,SIDING,2025-08-12,96145.0,95500.83,96145,10.9,180,COLUMBIA,SC,1086.75,2025-10-16,SC,762,Unsec Std - 1090 - 180,96145,480.73,0,-1124.9,99.33,100,0,0.005,0.3853,0,9.69,134580,RESIDENTIAL,prime,,,1090 - 180,Unsec Std - 1090 - 180,180.0,10000.0,1090.0,0.0,0.15068525075229278,0.02,2e-05,0.35,0.0,,0.9858,0.012499999999999956,0.9733,0.026699999999999946,0.0278,0.07332253988322979,0.03245,0.007851504512781816,0.0,0.0,PRIME,0,prime,standard,0.0,0.03,0.15,1.0,0.0125,,,,,,,,standard
3,SFC_6129517,SIDING,2025-08-12,96145.0,95500.83,96145,10.9,180,COLUMBIA,SC,1086.75,2025-10-16,SC,762,Unsec Std - 1090 - 180,96145,480.73,0,-1124.9,99.33,100,0,0.005,0.3853,0,9.69,134580,RESIDENTIAL,prime,,,1090 - 180,Unsec Std - 1090 - 180,180.0,10000.0,1090.0,0.0,0.18665108495076935,0.02,2e-05,0.35,0.0,,0.9830142394259905,0.012499999999999956,0.9705142394259906,0.029485760574009423,0.008614151289825149,0.0886254854159052,0.00605,0.03764483109757939,0.0,0.0,SFY,0,sfy,standard,0.0,0.02,0.1493,1.0,0.0125,,,,,,,,standard
4,SFC_6060290,PATIO COVER,2025-07-22,76453.0,75504.98,76453,9.9,180,SPRING,TX,816.9,2025-10-16,TX,761,Unsec Std - 990 - 180,70719.03,0,0,4785.95,98.76,92.5,7.5,0,0.4658,0,8.3,118032,RESIDENTIAL,prime,,,990 - 180,Unsec Std - 990 - 180,180.0,10000.0,990.0,0.0,0.1679,0.02,2e-05,0.35,0.0,,0.9801,0.012499999999999956,0.9676,0.032399999999999984,0.0207,0.07056702765910927,0.0628,0.08601302135113863,0.0,0.0,PRIME,0,prime,standard,0.0,0.025063500000000006,0.2,1.0,0.0125,,,,,,,,standard
5,SFC_5764193,WINDOWS/DOORS,2025-04-28,69104.0,66823.57,69104,23.99,60,BERKELEY,CA,1987.58,2025-10-16,CA,759,18 Mth WPDI,65303.28,0,0,1520.29,96.7,94.5,5.5,0,0.4863,0,5.23,456000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,59.0,10000.0,2136.0,0.0186,0.2705,0.02,2e-05,0.35,18.0,0.7855632646651717,0.9594999999999999,0.012499999999999956,0.947,0.05300000000000005,0.0531,0.09621847590426391,0.01295,0.018253998014788872,0.05,2083333.3333333333,PRIME,0.0628324181433995;0.0408385410486935;0.0369529552615553;0.0342505855761147;0.0360444673455377;0.0342760224870836;0.034925225567199;0.0325781332673581;0.033301047422053;0.0336283273168834;0.036171644516601;0.0363542883332323;0.0358565574961247;0.0356553513213916;0.039832222527633;0.0498596224428832;0.0778039535101948;0.094401901081233,prime,wpdi,0.015,0.05,0.25,1.0,0.0125,,,,,,,,unknown
5,SFC_5764193,WINDOWS/DOORS,2025-04-28,69104.0,66823.57,69104,23.99,60,BERKELEY,CA,1987.58,2025-10-16,CA,759,18 Mth WPDI,65303.28,0,0,1520.29,96.7,94.5,5.5,0,0.4863,0,5.23,456000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,58.0,10000.0,2200.0,0.0251,0.2570131893885484,0.02,2e-05,0.35,18.0,0.8202705769902632,0.9592,0.012499999999999956,0.9467000000000001,0.0532999999999999,0.0643,0.07946255199583696,0.1951,0.041090767478203234,0.05,2083333.3333333333,SFY,0.0652777389894097;0.0356953756194261;0.034058164028278;0.0279406174401888;0.031594188639639;0.0340876225347276;0.0330167624837598;0.0298519380389914;0.0339574704072298;0.0358908101981715;0.0344087960474102;0.0341519438576293;0.0374083860415759;0.0324308183993861;0.0438555113830001;0.0622556562993365;0.0907677106631277;0.123621065918976,sfy,wpdi,0.013,0.0643,0.3,1.0,0.0125,,,,,,,,unknown
6,SFC_5946812,WINDOWS,2025-06-20,58181.0,52019.63,58181,7.96,144,EMMAUS,PA,628.51,2025-10-16,PA,730,Unsec Std - 796 - 144,51781.09,0,0,238.54,89.41,89,11,0,0.3175,0,1.66,456000,RESIDENTIAL,prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard
7,SFC_5925981,WINDOWS,2025-06-14,55950.0,55256.22,55950,9.9,180,OAKDALE,CA,597.82,2025-10-16,CA,757,Unsec Std - 990 - 180,55950,0,0,-693.78,98.76,100,0,0,0.2089,0,3.55,202200,RESIDENTIAL,prime,,,990 - 180,Unsec Std - 990 - 180,180.0,10000.0,990.0,0.0,0.1679,0.02,2e-05,0.35,0.0,,0.9801,0.012499999999999956,0.9676,0.032399999999999984,0.0207,0.07056702765910927,0.0628,0.08601302135113863,0.0,0.0,PRIME,0,prime,standard,0.0,0.025063500000000006,0.2,1.0,0.0125,,,,,,,,standard
8,SFC_5658732,WINDOWS,2025-03-26,53557.0,50166.84,53557,23.99,60,CHAGRIN FALLS,OH,1540.42,2025-10-16,OH,763,24 Mth WPDI,49406.33,0,0,760.51,93.67,92.25,7.75,0,0.1305,0,11,168000,RESIDENTIAL,prime,,,WP24,24 Mth WPDI,59.0,10000.0,2136.0,0.0291,0.1948,0.02,2e-05,0.35,24.0,0.8113887652096501,0.9291999999999999,0.012499999999999956,0.9167,0.08330000000000004,0.0123,0.10321129859987899,0.0013,0.0036548922195523523,0.0,0.0,PRIME,0.0538802514747746;0.0450107112074825;0.0290435059631223;0.0269110688933608;0.0329133419615629;0.03778226424726;0.0232883570793076;0.0303450750062364;0.0278511944142547;0.0204041596515225;0.0287588205249249;0.024276493719799;0.0203752870880823;0.0263855276501278;0.0264984370739482;0.0311667302716944;0.0266788484511471;0.0229199465675228;0.0239449730692468;0.0281456717931416;0.0348539461672305;0.049331336098592;0.0713419744929187;0.0692808423423899,prime,wpdi,0.0288372800918244,0.0225,0.2,1.0,0.0125,,,,,,,,unknown
